simulation_ts,equity
1767764331803000000,88635.7
1767764455003000000,89125.15
1767764605203000000,88735.9
1767764742803000000,87873.05
1767764880203000000,87829.5
1767765021303000000,87586.85
1767765162403000000,87508.5
1767765314303000000,87344.05
1767765457603000000,87524.6
1767765596303000000,87438.35
1767765751403000000,87418.2
1767765902003000000,87491.95
1767766042005000000,87471.2
1767766173205000000,87580.35
1767766317008000000,87788.2
1767766450608000000,87774.55
1767766589508000000,87983.6
1767766746708000000,87844.35
1767766884908000000,88022.5
1767767023608000000,88305.25
1767767200008000000,88327.7
1767767353108000000,88429.05
1767767494208000000,88721.9
1767767628408000000,88233.85
1767767764608000000,87945.4
1767767902508000000,87306.95
1767768036408000000,87296.1
1767768181608000000,87449.05
1767768389008000000,87434.6
1767768533008000000,87629.55
1767768680408000000,87224.7
1767768838208000000,87024.95
1767769030608000000,86791.8
1767769168008000000,86603.75
1767769300208000000,87034.8
1767769427028000000,87377.75
1767769562304000000,87392
1767769716004000000,87548.75
1767769851000000000,87500.8
1767769983320000000,88169.15
1767770117900000000,88239.3
1767770246800000000,88278.45
1767770391700000000,88502
1767770519300000000,88591.55
1767770644000000000,88287
1767770772900000000,88431.15
1767770926400000000,88713.2
1767771067900000000,89229.75
1767771195700000000,88376.2
1767771348300000000,88131.35
1767771456300000000,88637.9
1767771586000000000,89539.65
1767771724000000000,89963.4
1767771841700000000,89468.35
1767771967400000000,89560.1
1767772103800000000,89172.05
1767772252100000000,88991.5
1767772374300000000,88971.65
1767772620200000000,89326.2
1767772765900000000,89579.95
1767772895000000000,89913.9
1767773025400000000,89985.85
1767773149700000000,90426.8
1767773280700000000,90328.75
1767773408000000000,91301.5
1767773556300000000,91417.45
1767773706700000000,91100.1
1767773837300000000,90786.05
1767774007900000000,90268.9
1767774129700000000,91712.85
1767774279400000000,89068.9
1767774420200000000,87748.85
1767774555000000000,89568.1
1767774677400000000,90043.25
1767774806000000000,90810.7
1767774943500000000,87520.25
1767775076600000000,87603
1767775214200000000,87849.35
1767775375600000000,87383.1
1767775502900000000,87301.05
1767775644600000000,86142
1767775777730000000,86061.95
1767775910300000000,86620.5
1767776039200000000,86932.65
1767776179900000000,87014.3
1767776340600000000,86600.25
1767776484400000000,84805
1767776615200000000,85462.95
1767776766004000000,85637.2
1767776894714000000,82383.15
1767777022004000000,82733.8
1767777152204000000,81383.75
1767777279104000000,78162.3
1767777398204000000,78221.45
1767777521504000000,74716.5
1767777648704000000,73486.45
1767777777624000000,73505.4
1767777904602000000,70783.95
1767778026702000000,70776.3
1767778145702000000,70776.25
1767778261802000000,71384.8
1767778381102000000,69522.35
1767778501702000000,68815.1
1767778621102000000,69131.85
1767778743902000000,68468.7
1767778868402000000,67550.65
1767778995402000000,66558
1767779120822000000,66613.75
1767779243832000000,65403.3
1767779373702000000,66612.85
1767779498102000000,67124.5
1767779618102000000,66840.35
1767779743502000000,67306.8
1767779892802000000,66699.95
1767780016002000000,65564.3
1767780137402000000,65364.25
1767780261202000000,66950.8
1767780391805000000,67241.15
1767780529205000000,68009.5
1767780664515000000,68318.25
1767780792705000000,69322.9
1767780927105000000,68125.85
1767781055605000000,68758
1767781195705000000,68602.75
1767781325305000000,68542.7
1767781454405000000,67869.25
1767781583405000000,67948.5
1767781726205000000,67947.25
1767781870905000000,68161.7
1767782007305000000,69180.45
1767782137105000000,69539
1767782269505000000,70197.75
1767782405005000000,69382.1
1767782535005000000,68976.05
1767782670805000000,68839.5
1767782826005000000,69320.05
1767782963605000000,69499.4
1767783123105000000,69854.95
1767783250505000000,70249.4
1767783421005000000,69827.95
1767783552805000000,70682.9
1767783710205000000,70157.75
1767783839905000000,71497.2
1767783969902000000,72059.95
1767784119702000000,72983.1
1767784250902000000,72703.85
1767784382502000000,72444
1767784504712000000,72816.35
1767784630802000000,72468.3
1767784750702000000,72609.05
1767784924302000000,72445.8
1767785047602000000,73079.15
1767785192802000000,73985.7
1767785330502000000,73474.45
1767785457902000000,73052.8
1767785583802000000,72909.05
1767785716202000000,73469.3
1767785855202000000,73675.35
1767785991602000000,74332.9
1767786135802000000,74782.85
1767786285202000000,73966.8
1767786409322000000,73678.75
1767786549112000000,73427.1
1767786680402000000,72162.75
1767786875702000000,73445
1767787000102000000,73642.35
1767787140202000000,72541.2
1767787266302000000,72805.75
1767787407102000000,73116.4
1767787534402000000,73323.05
1767787662200000000,72089.9
1767787808200000000,72320.85
1767787938400000000,73019.3
1767788057900000000,72158.25
1767788232700000000,72839.9
1767788357500000000,72316.35
1767788521800000000,72395.6
1767788666900000000,72360.55
1767788790700000000,71858.3
1767788949900000000,72226.25
1767789056800000000,72320.9
1767789183300000000,72752.15
1767789353900000000,72008.7
1767789493600000000,71887.85
1767789631200000000,71672.9
1767789755300000000,71647.65
1767789890700000000,71759.1
1767790040300000000,71869.85
1767790212400000000,71898.3
1767790340610000000,71909.45
1767790475300000000,71857.6
1767790608200000000,71812.35
1767790756600000000,71812.4
1767790937500000000,71812.35
1767791064800000000,71800.8
1767791190108000000,71800.75
1767791308008000000,71892.4
1767791424308000000,71886.55
1767791551008000000,71862
1767791679208000000,71956.75
1767791812908000000,71786
1767791937008000000,71756.75
1767792064518000000,71612.8
1767792192908000000,71612.75
1767792324008000000,71662.9
1767792449708000000,71852.05
1767792577208000000,71764.7
1767792697308000000,71761.85
1767792816108000000,71561.7
1767792939408000000,71475.05
1767793057008000000,71470
1767793180908000000,71454.55
1767793302308000000,71583.2
1767793440708000000,71623.15
1767793554808000000,71431.7
1767793675008000000,71228.45
1767793789208000000,71384.9
1767793904808000000,71250.85
1767794031508000000,71366.4
1767794161908000000,71284.65
1767794320008000000,71269.3
1767794441008000000,71249.15
1767794565108000000,71049.8
1767794689708000000,71055.75
1767794811902000000,70943.7
1767794934102000000,70814.85
1767795040604000000,70831.5
1767795167404000000,70827.85
1767795287404000000,70831.7
1767795413104000000,70552.45
1767795532604000000,70348.4
1767795654504000000,70636.75
1767795789104000000,70377.8
1767795912204000000,70496.95
1767796039904000000,70396.4
1767796165304000000,70422.75
1767796287904000000,70030.3
1767796411604000000,70437.85
1767796531804000000,70387.8
1767796654904000000,71022.55
1767796773704000000,71490.8
1767796897604000000,73430.75
1767797020704000000,73378.2
1767797142704000000,72957.15
1767797263804000000,73451.3
1767797384804000000,72970.95
1767797506904000000,72849.4
1767797627604000000,73533.35
1767797751304000000,74423
1767797874704000000,73236.55
1767798003004000000,73319.3
1767798120804000000,71489.65
1767798240604000000,69822.1
1767798361903000000,71272.45
1767798478803000000,71877.2
1767798600803000000,71705.95
1767798723603000000,71270.3
